language,id,text,file,node,lineNumber,lock,comment
en,line:0853a62,"Marline : Ah ça y est, la perle est enfin sortie de la palourde qui l'emprisonnait.",Assets/Babbles/YarnSpinner/Français/YarnPackMarline.yarn,Marline_Intro_FORET,7,337c5c76,
en,line:0e0841f,Marline : C'est pas trop tôt !,Assets/Babbles/YarnSpinner/Français/YarnPackMarline.yarn,Marline_Intro_FORET,9,1f6c104c,
en,line:03d83f6,Bulle : <size=1000%>Mamie !!!!</size=1000%>,Assets/Babbles/YarnSpinner/Français/YarnPackMarline.yarn,Marline_Intro_FORET,12,dfcb6aba,
en,line:001def5,Bulle : Qu'est-ce que tu fais ici ?,Assets/Babbles/YarnSpinner/Français/YarnPackMarline.yarn,Marline_Intro_FORET,13,9663942b,
en,line:0edee18,Marline : Je compte les grains de sable en attendant qu'on vienne me parler.,Assets/Babbles/YarnSpinner/Français/YarnPackMarline.yarn,Marline_Intro_FORET,16,751b0b8e,
en,line:09f1b6a,"Astère : <i>Dur, dur la vie de PNJ...</i>",Assets/Babbles/YarnSpinner/Français/YarnPackMarline.yarn,Marline_Intro_FORET,18,e7f88366,
en,line:0101163,"Marline : Non mais je blague Bulle, t'as cru que j'étais une vieille sénile ?",Assets/Babbles/YarnSpinner/Français/YarnPackMarline.yarn,Marline_Intro_FORET,20,976a62b4,
en,line:08bd6a4,Marline : Je cueillais des <color=#FFC300>algues</color> dans le coin.,Assets/Babbles/YarnSpinner/Français/YarnPackMarline.yarn,Marline_Intro_FORET,21,5d82ab67,
en,line:003ceb7,Bulle : Trop cool ! Je peux venir avec toi ?,Assets/Babbles/YarnSpinner/Français/YarnPackMarline.yarn,Marline_Intro_FORET,24,b7bc9e28,
en,line:09f4d56,"Marline : Non, dans tes rêves.",Assets/Babbles/YarnSpinner/Français/YarnPackMarline.yarn,Marline_Intro_FORET,26,f3bc2fd0,
en,line:0b0a3ba,"Marline : Maintenant que t'es libre, lâche moi les écailles et sors de ta bulle...<size=50%>Bulle</size=50%>.",Assets/Babbles/YarnSpinner/Français/YarnPackMarline.yarn,Marline_Intro_FORET,27,4fbcbb61,
en,line:0b7e673,Bulle : Pas besoin de toi !,Assets/Babbles/YarnSpinner/Français/YarnPackMarline.yarn,Marline_Intro_FORET,29,f55d45e8,
en,line:12b41e2,Bulle : D'façon j'ai pas besoin d'une vieille comme toi !!,Assets/Babbles/YarnSpinner/Français/YarnPackMarline.yarn,Marline_Intro_FORET,30,54b9eecf,
en,line:0ae445b,Marline : ...,Assets/Babbles/YarnSpinner/Français/YarnPackMarline.yarn,Marline_Intro_FORET,32,f8c89d19,
en,line:00e2c26,Marline : T'étais un gosse bien à l'époque...Dommage que la foutue éducation de tes parents t'ait rendu comme ça.,Assets/Babbles/YarnSpinner/Français/YarnPackMarline.yarn,Marline_Intro_FORET,33,4f9c0a25,
en,line:0d8c627,Bulle : T'as raison !,Assets/Babbles/YarnSpinner/Français/YarnPackMarline.yarn,Marline_Intro_FORET,35,4a9000e6,
en,line:0d9a1ba,Bulle : T'as raison mamie ! Je vais continuer tout droit je pense.,Assets/Babbles/YarnSpinner/Français/YarnPackMarline.yarn,Marline_Intro_FORET,36,6d016c9f,
en,line:004f8e1,"Marline : Hahaha, j'aime cet esprit d'aventure bullot, faut aller où notre cœur nous mène, on s'en fout des conséquences !",Assets/Babbles/YarnSpinner/Français/YarnPackMarline.yarn,Marline_Intro_FORET,37,a7fb6628,
en,line:0f92dca,Bulle : Des conseils ?,Assets/Babbles/YarnSpinner/Français/YarnPackMarline.yarn,Marline_Intro_FORET,40,f96f8c9b,
en,line:06a5cb1,Bulle : Tu me conseilles d'aller où ?,Assets/Babbles/YarnSpinner/Français/YarnPackMarline.yarn,Marline_Intro_FORET,41,ba08aec3,
en,line:0dc0485,"Marline : Pfffff, t'es plus un petiot, débrouille toi tout seul.",Assets/Babbles/YarnSpinner/Français/YarnPackMarline.yarn,Marline_Intro_FORET,42,e851a9ea,
en,line:0ec60f6,"Marline : Tu sais, à ton âge j'avais déjà parcouru l'océan.",Assets/Babbles/YarnSpinner/Français/YarnPackMarline.yarn,Marline_Intro_FORET,43,3c2c8f2b,
en,line:0e22e67,Marline : <mspace=1em>Trois fois</mspace=1em> !,Assets/Babbles/YarnSpinner/Français/YarnPackMarline.yarn,Marline_Intro_FORET,44,8410bad8,
en,line:0b92a66,Marline : ---,Assets/Babbles/YarnSpinner/Français/YarnPackMarline.yarn,Marline_Story_FORET_0,54,fe45208e,
en,line:09cb0f2,"Marline : Ahhh, cette <color=#48BC0D>forêt</color> me rappelle ma jeunesse.",Assets/Babbles/YarnSpinner/Français/YarnPackMarline.yarn,Marline_Story_FORET_0,55,fe50c442,
en,line:0949c67,Marline : ---,Assets/Babbles/YarnSpinner/Français/YarnPackMarline.yarn,Marline_Story_FORET_0,56,fe45208e,
en,line:0c30e79,Marline : Mon voyage de noces avec ton grand-père s'est passé dans une grande forêt de varech.,Assets/Babbles/YarnSpinner/Français/YarnPackMarline.yarn,Marline_Story_FORET_0,57,0220fec0,
en,line:0003521,"Bulle : C'est trop nul une forêt de varech, ça pue et on voit rien.",Assets/Babbles/YarnSpinner/Français/YarnPackMarline.yarn,Marline_Story_FORET_0,59,68380d95,
en,line:0116528,Bulle :En plus c'est tout près de <color=#48BC0D>chez maman et papa</color>.,Assets/Babbles/YarnSpinner/Français/YarnPackMarline.yarn,Marline_Story_FORET_0,60,deb07712,
en,line:03b31ca,"Marline : Bulle, tu crois qu'il y a qu'une seule forêt de varech dans le monde ?",Assets/Babbles/YarnSpinner/Français/YarnPackMarline.yarn,Marline_Story_FORET_0,62,7.96E+08,
